modelo,encoder,classificador,teste,batch,value
Modelo1,Kyoto,PUC,camera6,256,0.07146409389297792
Modelo1,Kyoto,PUC,camera6,512,0.08021682912273721
Modelo1,Kyoto,PUC,camera6,1024,0.0692759100855381
Modelo1,Kyoto,PUC,camera7,64,0.17746518897414038
Modelo1,Kyoto,PUC,camera7,128,0.12262006251776073
Modelo1,Kyoto,PUC,camera7,256,0.13545514824287203
Modelo1,Kyoto,PUC,camera7,512,0.15667329733825897
Modelo1,Kyoto,PUC,camera7,1024,0.12773515203182723
Modelo1,Kyoto,PUC,camera8,64,0.11900016608536788
Modelo1,Kyoto,PUC,camera8,128,0.14241820295631955
Modelo1,Kyoto,PUC,camera8,256,0.09549908653047666
Modelo1,Kyoto,PUC,camera8,512,0.0966616841056303
Modelo1,Kyoto,PUC,camera8,1024,0.09138847367546919
Modelo1,Kyoto,PUC,camera9,64,0.2423634680654119
Modelo1,Kyoto,PUC,camera9,128,0.15465905584696082
Modelo1,Kyoto,PUC,camera9,256,0.1505708114779389
Modelo1,Kyoto,PUC,camera9,512,0.18682505399568033
Modelo1,Kyoto,PUC,camera9,1024,0.1320580067880284
Modelo1,Kyoto,UFPR04,PUC,64,0.8665112452648724
Modelo1,Kyoto,UFPR04,PUC,128,0.8806028904609132
Modelo1,Kyoto,UFPR04,PUC,256,0.900474514583132
Modelo1,Kyoto,UFPR04,PUC,512,0.899866343880459
Modelo1,Kyoto,UFPR04,PUC,1024,0.9222083668259382
Modelo1,Kyoto,UFPR04,UFPR04,64,0.9285519949844446
Modelo1,Kyoto,UFPR04,UFPR04,128,0.9469463075339792
Modelo1,Kyoto,UFPR04,UFPR04,256,0.946484971077753
Modelo1,Kyoto,UFPR04,UFPR04,512,0.9645835551297065
Modelo1,Kyoto,UFPR04,UFPR04,1024,0.9659675644983853
Modelo1,Kyoto,UFPR04,UFPR05,64,0.6897608348161776
Modelo1,Kyoto,UFPR04,UFPR05,128,0.7137256084688
Modelo1,Kyoto,UFPR04,UFPR05,256,0.7761257049793407
Modelo1,Kyoto,UFPR04,UFPR05,512,0.7681213620050065
Modelo1,Kyoto,UFPR04,UFPR05,1024,0.8716832041499533
Modelo1,Kyoto,UFPR04,camera1,64,0.1963728921412663
Modelo1,Kyoto,UFPR04,camera1,128,0.18402799872733058
Modelo1,Kyoto,UFPR04,camera1,256,0.2753420299077315
Modelo1,Kyoto,UFPR04,camera1,512,0.1436207445116131
Modelo1,Kyoto,UFPR04,camera1,1024,0.2050270442252625
Modelo1,Kyoto,UFPR04,camera2,64,0.23931623931623933
Modelo1,Kyoto,UFPR04,camera2,128,0.14505494505494507
Modelo1,Kyoto,UFPR04,camera2,256,0.17191697191697192
Modelo1,Kyoto,UFPR04,camera2,512,0.10793650793650794
Modelo1,Kyoto,UFPR04,camera2,1024,0.1221001221001221
Modelo1,Kyoto,UFPR04,camera3,64,0.24611973392461198
Modelo1,Kyoto,UFPR04,camera3,128,0.15763910885862106
Modelo1,Kyoto,UFPR04,camera3,256,0.14950902755780804
Modelo1,Kyoto,UFPR04,camera3,512,0.1328265230704255
Modelo1,Kyoto,UFPR04,camera3,1024,0.11424348009713864
Modelo1,Kyoto,UFPR04,camera4,64,0.1960666023166023
Modelo1,Kyoto,UFPR04,camera4,128,0.14708011583011582
Modelo1,Kyoto,UFPR04,camera4,256,0.18780164092664092
Modelo1,Kyoto,UFPR04,camera4,512,0.1143219111969112
Modelo1,Kyoto,UFPR04,camera4,1024,0.1172176640926641
Modelo1,Kyoto,UFPR04,camera5,64,0.23159612246856703
Modelo1,Kyoto,UFPR04,camera5,128,0.16882618293502255
Modelo1,Kyoto,UFPR04,camera5,256,0.21004894903541607
Modelo1,Kyoto,UFPR04,camera5,512,0.1374412131682503
Modelo1,Kyoto,UFPR04,camera5,1024,0.13921681543334294
Modelo1,Kyoto,UFPR04,camera6,64,0.21961408394668788
Modelo1,Kyoto,UFPR04,camera6,128,0.11940521185597772
Modelo1,Kyoto,UFPR04,camera6,256,0.1518798488163915
Modelo1,Kyoto,UFPR04,camera6,512,0.12552218022677541
Modelo1,Kyoto,UFPR04,camera6,1024,0.1126417346329819
Modelo1,Kyoto,UFPR04,camera7,64,0.22170124088282656
Modelo1,Kyoto,UFPR04,camera7,128,0.14909538694704935
Modelo1,Kyoto,UFPR04,camera7,256,0.19522591645353793
Modelo1,Kyoto,UFPR04,camera7,512,0.15113195036468693
Modelo1,Kyoto,UFPR04,camera7,1024,0.16505636070853463
Modelo1,Kyoto,UFPR04,camera8,64,0.26320378674638767
Modelo1,Kyoto,UFPR04,camera8,128,0.1245640259093174
Modelo1,Kyoto,UFPR04,camera8,256,0.1384321541272214
Modelo1,Kyoto,UFPR04,camera8,512,0.1608536787908985
Modelo1,Kyoto,UFPR04,camera8,1024,0.12385816309583125
Modelo1,Kyoto,UFPR04,camera9,64,0.2837858685590867
Modelo1,Kyoto,UFPR04,camera9,128,0.22554767047207652
Modelo1,Kyoto,UFPR04,camera9,256,0.26002776920703485
Modelo1,Kyoto,UFPR04,camera9,512,0.19399876581302067
Modelo1,Kyoto,UFPR04,camera9,1024,0.21821968528232027
Modelo1,Kyoto,UFPR05,PUC,64,0.7441251417297035
Modelo1,Kyoto,UFPR05,PUC,128,0.8281658467362685
Modelo1,Kyoto,UFPR05,PUC,256,0.8553897360586296
Modelo1,Kyoto,UFPR05,PUC,512,0.7912536566852811
Modelo1,Kyoto,UFPR05,PUC,1024,0.8131077287181506
Modelo1,Kyoto,UFPR05,UFPR04,64,0.7191311659722419
Modelo1,Kyoto,UFPR05,UFPR04,128,0.8144988331774421
Modelo1,Kyoto,UFPR05,UFPR04,256,0.8584790680536266
Modelo1,Kyoto,UFPR05,UFPR04,512,0.8669916763508215
Modelo1,Kyoto,UFPR05,UFPR04,1024,0.7879595249567756
Modelo1,Kyoto,UFPR05,UFPR05,64,0.9430394634009394
Modelo1,Kyoto,UFPR05,UFPR05,128,0.9699452929973519
Modelo1,Kyoto,UFPR05,UFPR05,256,0.9741033287048629
Modelo1,Kyoto,UFPR05,UFPR05,512,0.9774039592391098
Modelo1,Kyoto,UFPR05,UFPR05,1024,0.9795740289696722
Modelo1,Kyoto,UFPR05,camera1,64,0.3622653515749284
Modelo1,Kyoto,UFPR05,camera1,128,0.23900731784918866
