encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,2,"(1, 7)",vote,0.929644921552436
PKLot,camera1,camera1,64,2,"(1, 8)",sum,0.9149463253509497
PKLot,camera1,camera1,64,2,"(1, 8)",mean_probs,0.9149463253509497
PKLot,camera1,camera1,64,2,"(1, 8)",max,0.9149463253509497
PKLot,camera1,camera1,64,2,"(1, 8)",mult,0.9149463253509497
PKLot,camera1,camera1,64,2,"(1, 8)",vote,0.9149463253509497
PKLot,camera1,camera1,64,2,"(1, 9)",sum,0.87943848059455
PKLot,camera1,camera1,64,2,"(1, 9)",mean_probs,0.87943848059455
PKLot,camera1,camera1,64,2,"(1, 9)",max,0.87943848059455
PKLot,camera1,camera1,64,2,"(1, 9)",mult,0.87943848059455
PKLot,camera1,camera1,64,2,"(1, 9)",vote,0.87943848059455
PKLot,camera1,camera1,64,2,"(2, 3)",sum,0.9190751445086706
PKLot,camera1,camera1,64,2,"(2, 3)",mean_probs,0.9190751445086706
PKLot,camera1,camera1,64,2,"(2, 3)",max,0.9190751445086706
PKLot,camera1,camera1,64,2,"(2, 3)",mult,0.9190751445086706
PKLot,camera1,camera1,64,2,"(2, 3)",vote,0.9190751445086706
PKLot,camera1,camera1,64,2,"(2, 4)",sum,0.9129644921552436
PKLot,camera1,camera1,64,2,"(2, 4)",mean_probs,0.9129644921552436
PKLot,camera1,camera1,64,2,"(2, 4)",max,0.9129644921552436
PKLot,camera1,camera1,64,2,"(2, 4)",mult,0.9129644921552436
PKLot,camera1,camera1,64,2,"(2, 4)",vote,0.9129644921552436
PKLot,camera1,camera1,64,2,"(2, 5)",sum,0.924525185796862
PKLot,camera1,camera1,64,2,"(2, 5)",mean_probs,0.924525185796862
PKLot,camera1,camera1,64,2,"(2, 5)",max,0.924525185796862
PKLot,camera1,camera1,64,2,"(2, 5)",mult,0.924525185796862
PKLot,camera1,camera1,64,2,"(2, 5)",vote,0.924525185796862
PKLot,camera1,camera1,64,2,"(2, 6)",sum,0.9185796862097441
PKLot,camera1,camera1,64,2,"(2, 6)",mean_probs,0.9185796862097441
PKLot,camera1,camera1,64,2,"(2, 6)",max,0.9185796862097441
PKLot,camera1,camera1,64,2,"(2, 6)",mult,0.9185796862097441
PKLot,camera1,camera1,64,2,"(2, 6)",vote,0.9185796862097441
PKLot,camera1,camera1,64,2,"(2, 7)",sum,0.9344343517753922
PKLot,camera1,camera1,64,2,"(2, 7)",mean_probs,0.9344343517753922
PKLot,camera1,camera1,64,2,"(2, 7)",max,0.9344343517753922
PKLot,camera1,camera1,64,2,"(2, 7)",mult,0.9344343517753922
PKLot,camera1,camera1,64,2,"(2, 7)",vote,0.9344343517753922
PKLot,camera1,camera1,64,2,"(2, 8)",sum,0.9291494632535094
PKLot,camera1,camera1,64,2,"(2, 8)",mean_probs,0.9291494632535094
PKLot,camera1,camera1,64,2,"(2, 8)",max,0.9291494632535094
PKLot,camera1,camera1,64,2,"(2, 8)",mult,0.9291494632535094
PKLot,camera1,camera1,64,2,"(2, 8)",vote,0.9291494632535094
PKLot,camera1,camera1,64,2,"(2, 9)",sum,0.9076796036333609
PKLot,camera1,camera1,64,2,"(2, 9)",mean_probs,0.9076796036333609
PKLot,camera1,camera1,64,2,"(2, 9)",max,0.9076796036333609
PKLot,camera1,camera1,64,2,"(2, 9)",mult,0.9076796036333609
PKLot,camera1,camera1,64,2,"(2, 9)",vote,0.9076796036333609
PKLot,camera1,camera1,64,2,"(3, 4)",sum,0.9012386457473163
PKLot,camera1,camera1,64,2,"(3, 4)",mean_probs,0.9012386457473163
PKLot,camera1,camera1,64,2,"(3, 4)",max,0.9012386457473163
PKLot,camera1,camera1,64,2,"(3, 4)",mult,0.9012386457473163
PKLot,camera1,camera1,64,2,"(3, 4)",vote,0.9012386457473163
PKLot,camera1,camera1,64,2,"(3, 5)",sum,0.9094962840627581
PKLot,camera1,camera1,64,2,"(3, 5)",mean_probs,0.9094962840627581
PKLot,camera1,camera1,64,2,"(3, 5)",max,0.9094962840627581
PKLot,camera1,camera1,64,2,"(3, 5)",mult,0.9094962840627581
PKLot,camera1,camera1,64,2,"(3, 5)",vote,0.9094962840627581
PKLot,camera1,camera1,64,2,"(3, 6)",sum,0.8994219653179191
