,params.model,metrics.test_ncc,metrics.test_vif,metrics.test_mse,metrics.val_loss,metrics.train_loss,metrics.test_scc,metrics.test_psnr,metrics.test_ssim,params.loss,params.dataset,start_time,params.epochs
1,Autoencoder4,1.7767323851585388,0.173996759779059,0.0121338539756834,0.0,0.0901902199257165,0.0029604595822057,44.3961181640625,1.4678944945335388,MSE,CNR,2026-02-22 16:17:25.157000+00:00,50
3,SkipAutoencoder4,1.9996725916862488,1.9940457737394732,1.8906911464000583e-05,0.0,0.0002279001487295,1.925263402068766,100.4992446899414,1.9968841671943665,MSE,CNR,2026-02-22 16:58:55.857000+00:00,50
5,VariationalAutoencoder4,1.5680379271507263,0.0710733768792717,0.0221746303141117,0.0,0.2506919386796653,-0.0007352362648244,39.1292839050293,1.4230590462684631,VAE Loss (BCE + KL),CNR,2026-02-22 18:02:31.666000+00:00,50
