MSE_Weight,SSIM_Weight,rec_weights,Val_Loss,mean_distance
0.4,0.0,0.3,0.11193011701107025,154.86012
0.4,0.0,0.5,0.1007075123488903,117.07736
0.4,0.0,0.7,0.10129661485552788,201.97943
0.4,0.0,1.0,0.12075195088982582,156.15085
0.4,0.2,0.3,0.2667183578014374,113.81181
0.4,0.2,0.5,0.2563610225915909,182.83301
0.4,0.2,0.7,0.30033227801322937,207.65547
0.4,0.2,1.0,0.30345776677131653,125.1368
0.4,0.3,0.3,0.3599262237548828,158.1381
0.4,0.3,0.5,0.3426249623298645,140.8348
0.4,0.3,0.7,0.3706319183111191,143.24544
0.4,0.3,1.0,0.3575427532196045,123.55829
0.4,0.4,0.3,0.45230093598365784,101.24599
0.4,0.4,0.5,0.425985723733902,114.34702
0.4,0.4,0.7,0.44991566240787506,186.14363
0.4,0.4,1.0,0.4295058101415634,131.71439
0.4,0.5,0.3,0.5000089704990387,138.27316
0.4,0.5,0.5,0.51933753490448,91.99078
0.4,0.5,0.7,0.536565363407135,132.04817
0.4,0.5,1.0,0.5207768976688385,137.93752
0.4,0.6,0.3,0.5450877547264099,95.225334
0.4,0.6,0.5,0.587169736623764,196.56198
0.4,0.6,0.7,0.6299938857555389,150.69777
0.4,0.6,1.0,0.5620889663696289,115.18035
0.5,0.0,0.3,0.11645625531673431,117.26874
0.5,0.0,0.5,0.1173318400979042,224.36415
0.5,0.0,0.7,0.16235820949077606,128.68562
0.5,0.0,1.0,0.13799399137496948,167.73412
0.5,0.2,0.3,0.2980693131685257,146.78923
0.5,0.2,0.5,0.2845389246940613,161.49084
0.5,0.2,0.7,0.28934337198734283,157.92494
0.5,0.2,1.0,0.2915141433477402,138.79712
0.5,0.3,0.3,0.34901122748851776,129.947
0.5,0.3,0.5,0.3957945704460144,196.6444
0.5,0.3,0.7,0.3812079429626465,186.85565
0.5,0.3,1.0,0.3841007649898529,149.63113
0.5,0.4,0.3,0.4482499212026596,147.90532
0.5,0.4,0.5,0.457785964012146,125.742226
0.5,0.4,0.7,0.4879296123981476,134.17274
0.5,0.4,1.0,0.4858911335468292,149.83092
0.5,0.5,0.3,0.5147660374641418,99.55775
