status,params.n_images_to_train,params.model,params.epochs,params.encoder_dataset,params.dataset_classifier,tags.mlflow.source.name,tags.mlflow.runName,metrics.test_acc-PUC,metrics.test_acc-UFPR04,metrics.test_acc-UFPR05,metrics.test_acc-camera1,metrics.test_acc-camera2,metrics.test_acc-camera3,metrics.test_acc-camera4,metrics.test_acc-camera5,metrics.test_acc-camera6,metrics.test_acc-camera7,metrics.test_acc-camera8,metrics.test_acc-camera9
FINISHED,64,Encoder0_Classifier,10,CNR,PUC,train_classifier.py,Encoder0_Classifier_PUC_64,0.9086189352943898,0.7535898974974605,0.589265452373843,0.7379025598678778,0.7120181405895691,0.6970814132104455,0.8322137166067802,0.7502195871761089,0.7946469773880941,0.7842724046140195,0.7820216049382716,0.8101926163723917
FINISHED,128,Encoder0_Classifier,10,CNR,PUC,train_classifier.py,Encoder0_Classifier_PUC_128,0.9396969381619722,0.7884846246190784,0.5921767691848313,0.7509496284062758,0.7732426303854876,0.7050691244239631,0.8211216997344165,0.8115942028985508,0.8122981079833872,0.8017968056787933,0.8167438271604939,0.8282504012841091
FINISHED,256,Encoder0_Classifier,10,CNR,PUC,train_classifier.py,Encoder0_Classifier_PUC_256,0.9656005735164886,0.7410194847169637,0.6275156763212899,0.77588769611891,0.7959183673469388,0.7585253456221198,0.8451804405561631,0.8334431269213878,0.8729810798338717,0.8328527062999113,0.8518518518518519,0.8196227929373997
FINISHED,512,Encoder0_Classifier,10,CNR,PUC,train_classifier.py,Encoder0_Classifier_PUC_512,0.9803576384071042,0.8104049312032505,0.7424828306957301,0.741701073492981,0.7845804988662132,0.7640552995391705,0.8703327605061709,0.8500219587176109,0.8811721273650208,0.8489352262644189,0.8545524691358025,0.8505216693418941
FINISHED,1024,Encoder0_Classifier,10,CNR,PUC,train_classifier.py,Encoder0_Classifier_PUC_1024,0.9741021460616992,0.7806353310554991,0.7564571513884741,0.7268373245251858,0.7664399092970522,0.7643625192012289,0.8778315888142477,0.847167325428195,0.8863636363636364,0.8665705412599822,0.8609182098765432,0.841091492776886
FINISHED,64,SkipEncoder0_Classifier,10,CNR,PUC,train_classifier.py,SkipEncoder0_Classifier_PUC_64,0.9085958096295268,0.8511058269461631,0.633987757539564,0.7220478943022296,0.764172335600907,0.7253456221198157,0.8212779253241681,0.7703118137900746,0.7955699123211813,0.7950310559006211,0.7901234567901234,0.7973515248796148
FINISHED,128,SkipEncoder0_Classifier,10,CNR,PUC,train_classifier.py,SkipEncoder0_Classifier_PUC_128,0.9396449054160309,0.9032689999076554,0.6512988951925948,0.7603633360858795,0.7505668934240363,0.7591397849462366,0.8404936728636151,0.7820597277119016,0.820835256114444,0.822759538598048,0.816358024691358,0.8164125200642055
FINISHED,256,SkipEncoder0_Classifier,10,CNR,PUC,train_classifier.py,SkipEncoder0_Classifier_PUC_256,0.96072683964664,0.8984670791393481,0.7444908928038221,0.7821635012386458,0.7471655328798186,0.7683563748079877,0.8554913294797688,0.7943566095740009,0.8341024457775726,0.8561446317657497,0.8171296296296297,0.7957463884430177
FINISHED,512,SkipEncoder0_Classifier,10,CNR,PUC,train_classifier.py,SkipEncoder0_Classifier_PUC_512,0.9797187919152676,0.9236887062517316,0.7494625261272021,0.7801816680429398,0.746031746031746,0.7895545314900153,0.8411185752226215,0.8300395256916996,0.8697508075680664,0.8462732919254659,0.8538773148148148,0.8035714285714286
FINISHED,1024,SkipEncoder0_Classifier,10,CNR,PUC,train_classifier.py,SkipEncoder0_Classifier_PUC_1024,0.9816179871421304,0.9339043309631544,0.8163630934607345,0.8218001651527663,0.8480725623582767,0.8390168970814132,0.8857990938915794,0.8357487922705314,0.8797877249653899,0.8778837622005324,0.8844521604938271,0.8400882825040128
FINISHED,64,VariationalEncoder0_Classifier,10,CNR,PUC,train_classifier.py,VariationalEncoder0_Classifier_PUC_64,0.7911318856667129,0.593198817988734,0.5004031054045984,0.4938067712634186,0.3378684807256236,0.450384024577573,0.5094516481799719,0.5060386473429952,0.4778495616059068,0.4650621118012422,0.4775270061728395,0.4803370786516854
FINISHED,128,VariationalEncoder0_Classifier,10,CNR,PUC,train_classifier.py,VariationalEncoder0_Classifier_PUC_128,0.8055912076222191,0.6790331517222273,0.5306061510898775,0.5088356729975227,0.365079365079365,0.4715821812596006,0.5130448367442587,0.5077953447518665,0.4832718043377942,0.4535270629991126,0.4777199074074074,0.4865569823434992
FINISHED,256,VariationalEncoder0_Classifier,10,CNR,PUC,train_classifier.py,VariationalEncoder0_Classifier_PUC_256,0.8089733361084132,0.6632653061224489,0.5308226336219767,0.5274979355904211,0.473922902494331,0.4854070660522273,0.5272613654116545,0.5204216073781291,0.5028841716658976,0.4754880212954747,0.4913194444444444,0.512239165329053
FINISHED,512,VariationalEncoder0_Classifier,10,CNR,PUC,train_classifier.py,VariationalEncoder0_Classifier_PUC_512,0.8075193099301605,0.5893549727583342,0.5359435652433562,0.5281585466556565,0.4750566893424036,0.4838709677419355,0.5231995000781128,0.5140535792709706,0.4981541301338256,0.4651730257320319,0.4849537037037037,0.507223113964687
FINISHED,1024,VariationalEncoder0_Classifier,10,CNR,PUC,train_classifier.py,VariationalEncoder0_Classifier_PUC_1024,0.8096642153461912,0.6229453319789454,0.5353613018811586,0.5451692815854665,0.4773242630385487,0.4854070660522273,0.5274175910014061,0.516798418972332,0.5005768343331796,0.4733806566104703,0.4908371913580246,0.5172552166934189
